year,month,state,district,fps_id,fps_name,summary_total_etransaction,summary_aadhaar_authenticated,summary_other_mode_authenticated,summary_non_authenticated,txn_phh_regular,txn_phh_intra_state,txn_phh_inter_state,txn_phh_total,txn_aay_regular,txn_aay_intra_state,txn_aay_inter_state,txn_aay_total,rc_phh_regular,rc_phh_intra_state,rc_phh_inter_state,rc_phh_total,rc_aay_regular,rc_aay_intra_state,rc_aay_inter_state,rc_aay_total,dty_wheat_regular,dty_wheat_intra_state,dty_wheat_inter_state,dty_wheat_total,dty_fortified_rice_regular,dty_fortified_rice_intra_state,dty_fortified_rice_inter_state,dty_fortified_rice_total,dty_rice_regular,dty_rice_intra_state,dty_rice_inter_state,dty_rice_total,dty_coarse_grains_regular,dty_coarse_grains_intra_state,dty_coarse_grains_inter_state,dty_coarse_grains_total,dty_barley_regular,dty_barley_intra_state,dty_barley_inter_state,dty_barley_total,dty_bajra_regular,dty_bajra_intra_state,dty_bajra_inter_state,dty_bajra_total,dty_maize_regular,dty_maize_intra_state,dty_maize_inter_state,dty_maize_total,dty_jowar_regular,dty_jowar_intra_state,dty_jowar_inter_state,dty_jowar_total,dty_ragi_regular,dty_ragi_intra_state,dty_ragi_inter_state,dty_ragi_total,dty_kodo_regular,dty_kodo_intra_state,dty_kodo_inter_state,dty_kodo_total,dty_total_regular,dty_total_intra_state,dty_total_inter_state,dty_total_total
2026,April,GOA,SOUTH GOA,158600300165,SAVITA G HONAWARKAR-26 FPS,354,354,0,0,303,6,37,346,0,0,8,8,303,6,37,346,0,0,8,8,0,0,0,0.0,5.49,0.1,0.945,6.535,5490,100,945,6535.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,5490,100,945,6535.0
2026,April,GOA,SOUTH GOA,158600300166,Swarali Purshottam Honawarkar -37 FPS,319,319,0,0,266,1,46,313,0,0,6,6,266,1,46,313,0,0,6,6,0,0,0,0.0,5.975,0.02,0.83,6.825,5975,20,1095,7090.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,5975,20,1095,7090.0
2026,April,GOA,SOUTH GOA,158600300167,RAMAKANT B SATTARKER-45 FPS,409,409,0,0,326,4,68,398,0,0,11,11,326,4,68,398,0,0,11,11,0,0,0,0.0,7.285,0.075,1.6,8.96,7285,75,1600,8960.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,7285,75,1600,8960.0
2026,April,GOA,SOUTH GOA,158600400001,Sandeep S. Malkarnekar -8 FPS,461,461,0,0,446,0,0,446,15,0,0,15,446,0,0,446,15,0,0,15,0,0,0,0.0,9.31,0,0,9.31,9310,0,0,9310.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,9310,0,0,9310.0
2026,April,GOA,SOUTH GOA,158600400002,WEST QUEPEM VKSS SOCIETY-18 FPS,727,727,0,0,701,2,0,703,24,0,0,24,701,2,0,703,24,0,0,24,0,0,0,0.0,15.595,0.04,0,15.635,15595,40,0,15635.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,15595,40,0,15635.0
2026,April,GOA,SOUTH GOA,158600400003,Arjun N. Sawant Dessai-27 FPS,225,0,0,225,212,0,0,212,13,0,0,13,212,0,0,212,13,0,0,13,0,0,0,0.0,4.91,0,0,4.91,4910,0,0,4910.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4910,0,0,4910.0
2026,April,GOA,SOUTH GOA,158600400004,Ashok R.Pai Dukle-3 FPS,656,656,0,0,517,49,38,604,48,0,4,52,517,49,38,604,48,0,4,52,0,0,0,0.0,12.52,0.94,0.865,14.325,12520,940,865,14325.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,12520,940,865,14325.0
2026,April,GOA,SOUTH GOA,158600400005,ANAND B.N.DESSAI-20 FPS,359,359,0,0,345,4,5,354,5,0,0,5,345,4,5,354,5,0,0,5,0,0,0,0.0,6.841,0.055,0.075,6.971,6841,55,75,6971.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,6841,55,75,6971.0
2026,April,GOA,SOUTH GOA,158600400007,Shri Vishal U.G. DESSAI-12 FPS,165,165,0,0,141,9,1,151,13,1,0,14,141,9,1,151,13,1,0,14,0,0,0,0.0,2.86,0.18,0.015,3.055,2860,180,15,3055.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2860,180,15,3055.0
2026,April,GOA,SOUTH GOA,158600400008,VINAYAK M. BARSEKAR-19 FPS,499,499,0,0,312,178,0,490,4,5,0,9,311,178,0,489,4,5,0,9,0,0,0,0.0,7.455,4.28,0,11.735,7455,4280,0,11735.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,7455,4280,0,11735.0
2026,April,GOA,SOUTH GOA,158600400009,North Quepem V.K.S.S. Society Ltd.-9 FPS,592,592,0,0,544,2,0,546,46,0,0,46,544,2,0,546,46,0,0,46,0,0,0,0.0,11.695,0.04,0,11.735,11695,40,0,11735.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,11695,40,0,11735.0
2026,April,GOA,SOUTH GOA,158600400010,SHAMBU BALSO GAUNS DESSAI-10 FPS,164,164,0,0,145,10,8,163,1,0,0,1,145,10,8,163,1,0,0,1,0,0,0,0.0,2.83,0.185,0.15,3.165,2830,185,150,3165.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2830,185,150,3165.0
2026,April,GOA,SOUTH GOA,158600400011,ANAND G. RAUT DESSAI-11 FPS,166,166,0,0,160,1,0,161,5,0,0,5,160,1,0,161,5,0,0,5,0,0,0,0.0,3.135,0.015,0,3.15,3135,15,0,3150.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,3135,15,0,3150.0
2026,April,GOA,SOUTH GOA,158600400012,KRISHNA S VELIP-17 FPS,213,213,0,0,206,0,0,206,7,0,0,7,206,0,0,206,7,0,0,7,0,0,0,0.0,4.43,0,0,4.43,4430,0,0,4430.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4430,0,0,4430.0
2026,April,GOA,SOUTH GOA,158600400013,CHINTUBAI R P DESSAI-4 FPS,541,541,0,0,444,24,0,468,69,4,0,73,444,24,0,468,69,4,0,73,0,0,0,0.0,10.615,0.545,0,11.16,10615,545,0,11160.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,10615,545,0,11160.0
2026,April,GOA,SOUTH GOA,158600400014,MRS.MANGALA M SHETKAR-24 FPS,48,48,0,0,43,2,0,45,3,0,0,3,43,2,0,45,3,0,0,3,0,0,0,0.0,0.8,0.025,0,0.825,800,25,0,825.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,800,25,0,825.0
2026,April,GOA,SOUTH GOA,158600400015,SMT. LEOPOLDINA GOMES  e  D`SOUZA-14 FPS,562,562,0,0,514,7,8,529,33,0,0,33,514,7,8,529,33,0,0,33,0,0,0,0.0,11.555,0.15,0.16,11.865,11555,150,160,11865.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,11555,150,160,11865.0
2026,April,GOA,SOUTH GOA,158600400016,APARNA AMAR SAWANT-5 FPS,314,314,0,0,253,6,0,259,55,0,0,55,253,6,0,259,55,0,0,55,0,0,0,0.0,6.485,0.095,0,6.58,6485,95,0,6580.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,6485,95,0,6580.0
2026,April,GOA,SOUTH GOA,158600400074,SACHIN M S BHANGUI-6 FPS,441,441,0,0,250,138,0,388,29,24,0,53,250,138,0,388,29,24,0,53,0,0,0,0.0,5.59,3.22,0,8.81,5590,3220,0,8810.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,5590,3220,0,8810.0
2026,April,GOA,SOUTH GOA,158600400075,SHRIPAD S MARATHE-15 FPS,492,492,0,0,463,6,0,469,23,0,0,23,463,5,0,468,23,0,0,23,0,0,0,0.0,10.655,0.105,0,10.76,10655,105,0,10760.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,10655,105,0,10760.0
